fecha,euros
2010-10-07,300
2011-08-13,14980
2011-08-12,52300
2011-08-11,11090
2011-08-10,11760
2009-05-14,100
2010-05-20,100
2010-05-21,950
2010-05-22,450
2010-05-24,100
2010-05-27,0
2010-05-28,200
2009-06-02,100
2009-02-11,60
2011-01-11,500
2011-06-02,12490
2011-06-03,75000
2010-10-21,900
2011-04-28,6180
2011-04-29,11200
2011-04-22,7600
2011-04-23,4100
2011-04-20,8880
2011-04-21,7100
2011-04-26,46700
2011-04-27,9600
2011-04-24,5000
2011-04-25,15100
2011-04-02,3400
2011-04-03,4300
2010-04-07,450
2009-03-09,300
2009-03-03,60
2011-08-26,18760
2011-08-27,7900
2011-08-24,8200
2011-08-25,10980
2011-08-22,9020
2011-08-23,12400
2011-08-20,12680
2011-08-21,19900
2011-03-30,7400
2011-03-31,4780
2011-08-28,13240
2011-08-29,7740
2009-01-18,450
2008-12-27,1500
2010-09-20,900
2010-12-31,500
2011-07-01,15210
2011-07-03,9730
2011-07-02,13210
2011-07-05,16460
2011-07-04,14080
2011-07-07,15570
2011-07-06,16070
2011-07-09,15580
2011-07-08,12960
2010-09-28,100
2010-09-29,1350
2010-09-24,300
2010-09-27,300
2010-04-30,100
2010-09-21,300
2010-09-22,800
2010-09-23,600
2010-03-09,1500
2011-02-28,3000
2011-02-24,2750
2011-02-25,4700
2011-02-26,1480
2011-02-27,1000
2010-03-04,400
2011-02-21,2800
2010-03-06,100
2011-02-23,950
2010-03-01,150
2010-07-22,300
2010-03-03,100
2011-09-18,3800
2011-09-19,5900
2011-09-14,6120
2011-09-15,5500
2011-09-16,158000
2011-09-17,1310
2011-09-10,6800
2011-09-11,6880
2011-09-12,11410
2011-09-13,6600
2010-08-06,900
2011-02-22,4600
2011-01-09,100
2011-01-08,500
2011-01-03,1500
2011-01-02,300
2011-01-01,500
2011-01-07,1100
2011-01-05,1300
2008-07-08,800
2009-12-22,150
2011-05-10,8680
2011-05-11,13500
2011-05-12,12050
2011-05-13,50710
2011-05-14,10850
2011-05-15,6260
2011-05-16,17200
2011-05-17,7380
2011-05-18,9680
2011-05-19,15700
2009-12-23,1500
2009-04-10,150
2010-11-29,200
2010-11-24,400
2010-11-26,300
2010-11-20,900
2010-11-23,100
2011-06-28,12830
2011-06-29,17810
2011-06-20,14490
2011-06-21,37950
2011-06-22,11300
2011-06-23,13180
2011-06-24,11500
2011-06-25,15250
2011-06-26,14060
2011-06-27,11700
2011-10-12,0
2011-10-13,0
2011-10-10,2700
2011-10-11,0
2011-10-14,0
2010-06-03,400
2010-06-02,1060
2011-08-17,14500
2010-06-01,510
2011-08-16,84660
2010-10-06,100
2010-01-25,310
2011-08-14,17880
2010-01-21,900
2009-01-28,100
2010-10-01,2100
2010-12-06,300
2010-10-12,200
2010-10-11,300
2008-08-12,150
2010-12-02,1400
2010-10-16,400
2010-10-15,1900
2010-12-01,2000
2010-10-19,700
2010-10-18,700
2010-12-08,700
2010-12-09,500
2011-01-30,1300
2011-01-31,500
2009-07-23,200
2010-05-30,400
2008-10-22,1010
2011-06-12,5340
2010-06-14,310
2010-06-30,300
