#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,CATEGORY,APPROVED,VERIFIED
111, "RD 1428/03 048", "2011-07-30", "FUENLABRADA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
112, "RD 1428/03 048", "2011-08-02", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
113, "RD 1428/03 048", "2011-08-02", "LEGANES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
114, "RD 1428/03 048", "2011-08-02", "ALCORCON,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
115, "RD 1428/03 048", "2011-08-02", "LEGANES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
116, "RD 1428/03 048", "2011-08-02", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
117, "RD 1428/03 048", "2011-08-01", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
118, "RD 1428/03 048", "2011-08-01", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
119, "RD 1428/03 048", "2011-07-30", "MURCIA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
120, "RD 1428/03 048", "2011-07-30", "MONDEJAR,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
121, "RD 1428/03 048", "2011-07-31", "CAMARENA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
122, "RD 1428/03 048", "2011-08-01", "GRI�ON,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
123, "RD 1428/03 048", "2011-08-02", "PARLA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
124, "RD 1428/03 048", "2011-08-02", "MOLINOS MORFAGONES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
125, "RD 1428/03 048", "2011-08-02", "TORREVIEJA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
126, "RD 1428/03 048", "2011-08-02", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
127, "RD 1428/03 048", "2011-08-02", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
128, "RD 1428/03 048", "2011-08-02", "CASTELLON DE LA PLANA/CA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
129, "RD 1428/03 048", "2011-08-02", "VILLARROBLEDO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
130, "RD 1428/03 048", "2011-08-02", "CAMPO REAL,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
131, "RD 1428/03 048", "2011-08-02", "ARGANDA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
132, "RD 1428/03 048", "2011-08-02", "ALBANCHEZ,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
133, "RD 1428/03 048", "2011-08-02", "ALCALA DE HENARES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
134, "RD 1428/03 048", "2011-07-30", "PARQUE COIMBRA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
135, "RD 1428/03 048", "2011-07-31", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
136, "RD 1428/03 048", "2011-08-01", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
137, "RD 1428/03 048", "2011-07-30", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
138, "RD 1428/03 048", "2011-08-03", "PARLA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
139, "RD 1428/03 048", "2011-08-03", "VELILLA SAN ANTONIO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
140, "RD 1428/03 048", "2011-08-02", "MONTIJO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
141, "RD 1428/03 048", "2011-08-03", "TORREJON DE CALZADA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
142, "RD 1428/03 048", "2011-08-02", "FUENLABRADA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
143, "RD 1428/03 048", "2011-08-01", "VILLAVICIOSA DE ODON,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
144, "RD 1428/03 048", "2011-08-02", "ALCALA DE HENARES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
145, "RD 1428/03 048", "2011-07-30", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
146, "RD 1428/03 048", "2011-07-30", "BOADILLA DEL MONTE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
147, "RD 1428/03 048", "2011-07-31", "LEGANES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
148, "RD 1428/03 048", "2011-08-03", "VITORIA GASTEIZ,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
149, "RD 1428/03 048", "2011-08-03", "AJALVIR,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
150, "RD 1428/03 048", "2011-08-03", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
151, "RD 1428/03 048", "2011-08-01", "TORREVIEJA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
152, "RD 1428/03 048", "2011-08-02", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
153, "RD 1428/03 048", "2011-07-30", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
154, "RD 1428/03 048", "2011-07-30", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
155, "RD 1428/03 048", "2011-07-31", "LAS ROZAS DE MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
156, "RD 1428/03 048", "2011-08-02", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
157, "RD 1428/03 048", "2011-08-03", "LA SOLANA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
158, "RD 1428/03 048", "2011-07-30", "RIVAS VACIAMADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
159, "RD 1428/03 048", "2011-08-02", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
160, "RD 1428/03 048", "2011-08-03", "CUBAS,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
161, "RD 1428/03 048", "2011-08-03", "PICANYA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
162, "RD 1428/03 048", "2011-07-31", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
163, "RD 1428/03 048", "2011-07-30", "LAS ROZAS DE MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
164, "RD 1428/03 048", "2011-07-31", "PARLA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
165, "RD 1428/03 048", "2011-07-31", "LEGANES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
166, "RD 1428/03 048", "2011-07-31", "MURCIA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
167, "RD 1428/03 048", "2011-08-01", "ARROYOMOLINOS,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
168, "RD 1428/03 048", "2011-08-02", "COSLADA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
169, "RD 1428/03 048", "2011-07-30", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
170, "RD 1428/03 048", "2011-08-04", "TOLEDO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
171, "RD 1428/03 048", "2011-08-04", "ALCALA DE HENARES,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
172, "RD 1428/03 048", "2011-08-04", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
173, "RD 1428/03 048", "2011-08-04", "TOLEDO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
174, "RD 1428/03 048", "2011-08-04", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
175, "RD 1428/03 048", "2011-08-04", "FUENLABRADA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
176, "RD 1428/03 048", "2011-08-04", "ALJUCER,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
177, "RD 1428/03 048", "2011-08-05", "MINAYA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
178, "RD 1428/03 048", "2011-08-05", "COSLADA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
179, "RD 1428/03 048", "2011-08-05", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
180, "RD 1428/03 048", "2011-08-05", "ALCORCON,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
181, "RD 1428/03 048", "2011-08-05", "CIEMPOZUELOS,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
182, "RD 1428/03 048", "2011-08-05", "NONDUERMAS,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
183, "RD 1428/03 048", "2011-08-05", "COLLADO MEDIANO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
184, "RD 1428/03 048", "2011-08-05", "VITORIA GASTEIZ,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
185, "RD 1428/03 048", "2011-08-04", "MADRID,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
186, "RD 1428/03 048", "2011-08-05", "TORREVIEJA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
187, "RD 1428/03 048", "2011-08-04", "ALICANTE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
188, "RD 1428/03 048", "2011-08-07", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
189, "RD 1428/03 048", "2011-08-05", "VILLAVICIOSA DE ODON,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
190, "RD 1428/03 048", "2011-08-05", "VALDEMORO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
191, "RD 1428/03 048", "2011-08-08", "VILLARROBLEDO,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
192, "RD 1428/03 048", "2011-08-04", "MERIDA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
193, "RD 1428/03 048", "2011-08-09", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
194, "RD 1428/03 048", "2011-08-08", "TORREVIEJA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
195, "RD 1428/03 048", "2011-08-08", "GETAFE,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
196, "RD 1428/03 048", "2011-08-14", "MAJADAHONDA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
197, "RD 1428/03 048", "2011-08-13", "MAIRENA DEL ALJARAFE,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
198, "RD 1428/03 048", "2011-08-12", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
199, "RD 1428/03 048", "2011-08-13", "SAN ANTONIO DE BENAGEBER,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
200, "RD 1428/03 048", "2011-08-16", "MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
201, "RD 1428/03 048", "2011-08-19", "ONTIGOLA,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
202, "RD 1428/03 048", "2011-08-19", "HUMANES DE MADRID,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
203, "RD 1428/03 048", "2011-08-21", "ELCHE/ELX,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
204, "RD 1428/03 048", "2011-08-24", "MIRANDA DE EBRO,Spain", "100.00 €, 0 puntos", "RD 1428/03", YES, YES
205, "RD 1428/03 048", "2011-08-27", "JEREZ DE LA FTRA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
206, "RD 1428/03 048", "2011-08-28", "TOLEDO,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
207, "RD 1428/03 048", "2011-08-31", "ALBACETE,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
208, "RD 1428/03 048", "2011-09-06", "GANDIA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
209, "RD 1428/03 048", "2011-09-08", "ALBACETE,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
210, "RD 1428/03 048", "2011-09-08", "DOS AGUAS,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
211, "RD 1428/03 048", "2011-09-10", "MADRID,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
212, "RD 1428/03 048", "2011-09-13", "VILLAREJO SALVANES,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
213, "RD 1428/03 048", "2011-09-12", "CARTAGENA,Spain", "0.00 €, 0 puntos", "RD 1428/03", YES, YES
214, "RD 1428/03 048", "2010-10-27", "ALBACETE,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
215, "RD 1428/03 048", "2010-10-27", "CAROLINA, LA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
216, "RD 1428/03 052.1", "2011-06-11", "ALBACETE,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
217, "RD 1428/03 048.1", "2011-06-14", "LA CAROLINA,Spain", "300.00 €, 2 puntos", "RD 1428/03", YES, YES
